activity_code,activity_name_original,source_column_original,legacy_middle_category,model_middle_category,mapping_status,preference_model_status,include_in_policy_category
1,미술관 관람(전시회 포함)(미술^ 사진^ 시화^ 건축^ 디자인전시 등),한 번 이상 참여한 여가활동 - (1) 미술관 관람(전시회 포함)(미술^ 사진^ 시화^ 건축^ 디자인전시 등),미술,미술,기존 분류 유지,선호확률 산출,True
2,박물관 관람,한 번 이상 참여한 여가활동 - (2) 박물관 관람,미술,미술,기존 분류 유지,선호확률 산출,True
3,음악연주회 관람(클래식^ 오페라 등),한 번 이상 참여한 여가활동 - (3) 음악연주회 관람(클래식^ 오페라 등),공연,공연,기존 분류 유지,선호확률 산출,True
4,전통예술공연 관람(국악^ 민속놀이 등),한 번 이상 참여한 여가활동 - (4) 전통예술공연 관람(국악^ 민속놀이 등),공연,공연,기존 분류 유지,선호확률 산출,True
5,연극공연 관람(뮤지컬 포함),한 번 이상 참여한 여가활동 - (5) 연극공연 관람(뮤지컬 포함),공연,공연,기존 분류 유지,선호확률 산출,True
6,무용공연 관람,한 번 이상 참여한 여가활동 - (6) 무용공연 관람,공연,공연,기존 분류 유지,선호확률 산출,True
7,영화관람(극장),한 번 이상 참여한 여가활동 - (7) 영화관람(극장),영상,영상,기존 분류 유지,선호확률 산출,True
8,연예공연 관람(콘서트^ 마술쇼^ 거리공연 등),한 번 이상 참여한 여가활동 - (8) 연예공연 관람(콘서트^ 마술쇼^ 거리공연 등),공연,공연,기존 분류 유지,선호확률 산출,True
9,문학행사참여(시낭송^ 전시 개최^ 작가와의 만남 등),한 번 이상 참여한 여가활동 - (9) 문학행사참여(시낭송^ 전시 개최^ 작가와의 만남 등),문화체험,문화체험,기존 분류 유지,선호확률 산출,True
10,글짓기/독서토론,한 번 이상 참여한 여가활동 - (10) 글짓기/독서토론,문화체험,문화체험,기존 분류 유지,선호확률 산출,True
11,미술활동(그림^ 서예^ 조각^ 디자인^ 도예^ 만화 등),한 번 이상 참여한 여가활동 - (11) 미술활동(그림^ 서예^ 조각^ 디자인^ 도예^ 만화 등),문화체험,문화체험,기존 분류 유지,선호확률 산출,True
